"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"AKIRIN2",1703,2322,3964,2256,1682,1972,1763,1276,1276,338,1230,389,943,196,238,70
"AKNA",4132,12374,12969,9570,14884,22876,16693,12671,28515,6611,23283,5727,21685,1882,1835,1013
"AKNAD1",49,44,147,67,0,6,0,4,29,7,53,7,31,0,0,0
"AKR1A1",3643,4388,8649,4496,1703,2492,1474,1058,1965,673,2309,830,1225,151,206,54
"AKR1B1",2232,2619,5362,2774,1723,2502,1696,1137,1452,408,1726,499,838,135,147,72
"AKR1B10",48,26,47,21,0,0,0,0,67,21,86,25,99,0,0,0
"AKR1C1",55,88,376,33,25,95,12,157,57,11,65,41,41,1,0,0
"AKR1C3",1342,634,3184,699,398,270,197,88,384,194,484,88,297,21,15,7
"AKR1C7P",26,15,19,20,110,89,54,93,4,1,12,2,7,2,1,0
"AKR1D1P1",11,19,22,11,81,59,55,50,22,8,14,5,12,2,0,0
"AKR1E2",199,322,80,414,692,1138,166,566,61,21,91,84,67,26,0,3
"AKR7A2",2353,2727,5109,2619,1162,1409,1022,510,1019,383,1270,542,601,125,123,42
"AKT1",2768,5369,7831,4798,3612,5071,3270,2405,5152,1438,5398,1614,3177,448,406,240
"AKT1S1",291,492,996,399,454,674,497,410,640,133,663,153,423,41,23,18
"AKT2",4004,6704,10088,6023,6827,8000,5797,5503,6726,1589,6325,1911,4596,487,430,283
"AKT3",6197,5768,16727,5810,5648,3800,4926,3982,7455,2147,8557,2267,5364,271,428,192
"AKT3-IT1",19,33,38,20,25,10,14,83,57,6,36,18,94,1,0,1
"AKTIP",1179,1153,3153,995,2653,2600,2422,1105,2640,856,3466,637,1931,97,119,98
"ALAD",822,1376,2628,1250,1317,1771,1303,728,1552,484,1617,549,1302,77,95,23
"ALAS1",1290,1424,3070,1159,855,1320,777,551,1655,619,1961,516,1079,74,83,16
"ALAS2",3,5,2,0,0,23,175,0,2,1,2,1,4,49,171,3
"ALCAM",1151,1714,3385,1586,348,742,955,278,638,257,896,362,715,34,101,23
