"","CD4_thymus_1","CD4_thymus_2","CD4_thymus_3","CD4_thymus_4","CD4_bloodinfant_1","CD4_bloodinfant_2","CD4_bloodinfant_3","CD4_bloodinfant_4","CD8_thymus_1","CD8_thymus_2","CD8_thymus_3","CD8_thymus_4","CD8_thymus_5","CD8_bloodinfant_1","CD8_bloodinfant_2","CD8_bloodinfant_3"
"SENP1",2538,3117,6216,2604,2784,2832,2480,1691,2096,625,2776,867,1654,134,125,82
"SENP2",2885,3735,7434,3581,2147,2704,2108,2234,2497,805,2784,1022,1988,119,137,72
"SENP3",802,1132,1631,969,671,910,639,415,507,136,558,174,319,45,35,22
"SENP3-EIF4A1",18,31,85,32,54,60,39,41,17,3,16,1,23,1,1,3
"SENP5",5879,6278,16264,6269,5801,6478,5845,4797,4370,1282,5053,1556,3472,275,319,166
"SENP6",8090,10402,23966,9461,10321,12308,10771,7264,10166,3211,12233,3572,8045,446,579,249
"SENP7",7597,8741,20589,6241,9824,12655,9337,8876,9355,3043,12316,2866,7304,259,348,184
"SENP8",133,141,447,101,79,112,100,39,129,48,151,35,79,2,3,0
"SEPHS1",5013,6619,13654,7015,1963,3421,2144,1485,3116,1073,3749,1369,1870,150,108,76
"SEPHS2",1310,1972,4047,2178,965,1513,1197,767,1476,451,1600,460,1120,97,146,43
"SEPSECS",1828,2422,5502,1690,1800,2249,1550,1556,1550,472,1763,545,1109,81,81,39
"SEPSECS-AS1",130,214,472,194,371,279,293,185,356,101,428,43,413,5,20,2
"SEPTIN1",3682,6308,9687,4802,5749,8630,4709,3460,7748,2080,7479,2055,4989,415,383,155
"SEPTIN10",99,68,112,51,2,4,5,8,183,63,207,77,313,8,9,2
"SEPTIN11",3657,6279,9549,5474,2812,5679,3373,2404,4157,1336,5336,1580,2713,359,337,188
"SEPTIN14P12",43,65,131,68,7,13,2,5,13,4,11,10,9,1,0,0
"SEPTIN2",12424,13948,42227,17070,9428,12391,11759,8294,9460,4396,15008,3551,9369,611,936,284
"SEPTIN3",51,69,82,93,4,9,10,5,20,2,13,1,17,0,0,0
"SEPTIN5",143,280,398,195,27,102,11,26,478,60,390,132,356,36,17,44
"SEPTIN6",15304,26157,47725,33201,24080,26024,25319,15179,20815,7031,23248,8157,15894,1098,1312,513
"SEPTIN7",20675,27950,46028,19980,23261,27776,22174,12118,18703,5724,23270,7658,11718,1139,1296,569
"SEPTIN7-DT",218,172,341,183,194,196,188,91,247,49,305,84,169,7,10,2
"SEPTIN7P13",371,379,1290,334,385,362,373,479,392,74,351,82,436,10,9,9
"SEPTIN7P14",968,1625,2385,1134,1126,1855,1015,1204,1249,293,1455,332,1292,58,35,39
"SEPTIN7P2",896,1312,2330,1091,1206,1698,1114,1468,885,236,1084,299,972,34,44,42
"SEPTIN7P9",73,34,55,37,12,23,9,18,39,7,22,8,9,0,1,1
"SEPTIN8",506,1166,1352,529,412,841,439,254,933,222,937,257,766,34,21,20
"SEPTIN9",19716,53323,55509,39148,54797,70823,46041,31781,42746,12989,41492,12636,23000,4375,3341,1744
"SERAC1",387,410,1111,383,245,325,289,167,529,110,573,112,277,20,21,9
"SERBP1",24236,36614,74312,37550,20025,27794,19713,11669,20673,7290,25960,8286,14306,1264,1428,598
"SERF1A",30,46,21,21,79,47,38,27,21,4,40,6,23,1,2,2
"SERF1B",69,100,217,91,90,115,114,82,84,11,71,23,36,2,0,0
"SERF2",18120,21948,37411,17822,14692,16785,11782,6981,10969,3732,13661,4351,6436,1108,1008,527
"SERGEF",646,877,1637,694,1008,950,843,611,642,215,735,212,612,44,67,41
"SERHL2",136,60,125,58,5,4,13,1,80,39,160,34,50,1,1,1
"SERINC1",10971,14737,28738,9493,20772,22763,16818,12544,10551,3377,12300,3382,6988,762,941,480
"SERINC2",68,78,372,77,0,7,7,5,22,23,138,15,74,4,3,1
"SERINC3",8024,10577,29229,10428,12139,14201,11640,6904,9216,3569,10785,3474,6680,635,755,313
"SERINC5",3772,5137,12075,6163,16365,16039,11707,14714,5567,1824,6485,1851,5272,367,350,282
"SERP1",21799,24793,52294,20955,15660,17318,14768,7166,9339,3159,12200,3954,5739,858,846,360
"SERP2",81,170,166,79,26,30,21,7,88,21,107,50,53,2,1,0
"SERPINA1",66,117,134,106,4,1,110,7,53,13,42,11,62,738,887,131
"SERPINB1",6406,9254,18467,7945,4002,7818,4491,2325,3559,1174,3795,1620,2556,520,523,159
"SERPINB10",63,491,108,58,0,163,6,1,16,6,21,5,14,24,5,2
"SERPINB12",8,11,20,17,0,0,0,0,50,10,71,14,31,0,0,0
"SERPINB13",1,3,6,11,0,0,0,0,46,7,52,5,36,0,0,0
"SERPINB2",14,30,20,28,38,0,16,13,40,3,45,4,31,51,23,11
"SERPINB3",13,32,30,19,0,0,0,0,126,21,117,10,90,0,0,0
"SERPINB4",6,15,20,14,0,0,0,0,66,6,51,6,54,0,0,0
"SERPINB5",132,87,102,40,0,0,0,0,172,75,203,73,217,0,0,0
"SERPINB6",589,838,1128,728,183,527,507,148,426,104,418,120,331,153,150,39
"SERPINB7",5,4,0,27,0,0,0,0,73,18,147,9,64,0,0,0
"SERPINB8",322,435,590,283,315,375,279,209,350,112,352,86,330,32,65,11
"SERPINB9",3418,5183,8794,3272,5004,5799,3659,1997,4960,1059,3581,939,2882,335,360,125
"SERPINB9P1",63,65,122,79,448,244,207,205,125,16,77,12,48,16,55,4
"SERPINE1",199,213,1157,1142,10,13,10,11,34,15,47,47,68,21,8,14
"SERPINE2",1983,2248,4227,1638,1059,705,701,470,615,287,773,222,516,25,27,12
"SERPINF1",1532,1839,2778,1173,683,357,634,518,1049,271,1182,506,477,96,73,24
"SERPINF2",143,156,232,161,16,20,26,19,39,8,30,1,50,5,9,2
"SERPING1",63,101,249,134,4,39,19,18,112,52,75,46,111,2,7,0
"SERPINH1",520,725,1571,539,302,490,226,139,928,407,1028,334,535,26,24,3
"SERPINI1",123,133,387,146,231,328,273,92,240,50,253,85,114,14,34,6
"SERTAD1",522,617,1300,678,285,280,290,240,600,162,551,114,286,170,93,86
"SERTAD2",3028,4248,7416,4146,1323,1454,2137,1152,4053,977,3612,1342,3952,138,231,107
"SERTAD3",410,479,897,339,173,158,269,129,533,120,636,111,278,93,101,62
"SERTAD4",469,154,1619,438,0,0,1,0,66,30,108,15,34,0,0,0
"SERTAD4-AS1",72,13,243,48,1,0,0,0,16,6,15,6,11,0,0,0
"SESN1",2378,5160,6131,2406,3069,5082,1973,2159,1666,481,1858,586,1304,145,102,127
"SESN2",140,269,284,307,544,428,345,232,288,85,392,73,194,56,48,39
"SESN3",7318,6764,24816,6028,13534,9367,17722,7428,11522,3023,13419,2654,9339,225,747,136
"SESTD1",1216,1925,3472,1575,428,853,1062,385,1069,214,1110,474,769,70,111,30
"SET",58367,89978,145380,78829,42646,51709,41814,24125,30640,11336,41667,13936,18036,2039,2389,1085
"SETBP1",167,474,655,240,145,191,561,185,241,104,256,87,286,53,156,25
"SETD1A",527,1381,1583,1487,1340,2078,1537,1254,1480,380,1173,386,1352,117,103,73
"SETD1B",745,1616,2158,1485,2802,2804,2795,2596,2025,424,1601,344,2379,214,196,182
"SETD2",6391,10209,14298,9354,13010,17005,13578,11902,13077,3388,12457,3530,11584,688,692,493
"SETD3",5517,5728,12147,5020,5681,6247,4863,2642,4276,1639,6222,1749,3126,410,384,221
"SETD4",576,770,1781,716,734,1091,699,809,781,226,963,188,682,41,27,22
"SETD5",1991,3397,5563,2941,3151,5446,3844,3890,5891,1367,4853,1320,6699,240,196,92
"SETD6",384,688,1529,512,780,1071,872,634,733,192,896,260,533,21,44,18
"SETD7",1732,2633,5349,2587,1394,2577,1150,740,884,284,904,362,869,66,133,36
"SETD9",341,357,685,311,221,275,199,109,69,23,151,23,74,10,14,2
"SETDB1",2785,3980,9665,3369,2577,4556,2739,1939,4084,1304,4421,1354,2640,253,249,99
"SETDB2",3658,3908,6675,2856,5376,6477,4448,2654,3313,977,3766,1021,2342,216,212,94
"SETMAR",1589,2067,3714,1653,1283,1599,795,648,1016,364,1301,400,851,46,26,23
"SETX",17238,24496,49296,17386,26133,28938,26974,14686,27404,7361,32007,8350,19038,1590,2227,940
"SF1",5416,10444,18644,10164,11618,17129,14538,15780,9070,1636,7416,1983,8260,691,597,439
"SF1-DT",42,63,49,32,55,59,56,24,25,5,26,11,10,5,0,1
"SF3A1",2770,6225,8401,6935,7029,9000,7671,5308,5870,1381,4629,1449,5136,563,616,330
"SF3A2",1012,1598,2158,1669,1438,2211,1375,1019,1475,360,1159,321,1172,119,108,68
"SF3A3",7652,9781,19130,8660,6083,7888,5691,3104,5350,2068,7245,2495,3789,309,341,150
"SF3B1",47355,55681,127524,40937,38437,61351,41519,36513,43024,12885,48848,14537,26417,2063,2031,1050
"SF3B2",6346,13273,20352,12880,8332,12535,9062,6125,10253,2962,10817,3363,6732,751,778,352
"SF3B3",14316,16182,40495,16249,12467,14017,11026,6656,12553,4062,13757,4496,8512,557,742,352
"SF3B4",849,1571,2403,1735,1129,1581,1189,839,1309,389,1251,436,953,120,102,60
"SF3B5",4515,4779,9127,4698,2898,3184,2437,1409,1988,621,2288,726,1042,227,203,102
"SF3B6",6048,7447,14217,6568,3535,5121,3269,1898,2330,918,3423,1249,1485,166,155,87
"SFI1",2389,3585,5531,2849,3383,4524,3541,4303,4495,875,3427,820,4055,202,167,114
"SFMBT1",696,907,2240,885,1384,1734,1379,1025,644,150,737,237,349,56,77,45
"SFMBT2",1517,3643,4019,2149,3227,4445,3234,3952,4192,1016,3668,885,3251,256,133,126
"SFN",13,19,12,15,6,22,4,7,92,15,62,11,68,1,0,0
"SFPQ",31556,55907,94852,56394,27550,43685,29449,30613,25381,6039,27391,8735,19696,1812,1257,1098
"SFR1",1476,1540,3196,1168,908,1124,913,481,722,216,880,276,393,38,44,27
"SFRP4",9,19,19,3,0,0,0,0,67,36,39,33,29,0,0,0
"SFSWAP",2260,4346,7473,3834,4337,6058,3938,4842,4729,1064,4268,1153,3376,233,203,144
"SFT2D1",1399,1433,3397,1308,821,1148,883,476,1207,326,1236,400,916,67,77,18
"SFT2D2",10480,13142,27249,13565,10260,11409,11503,8242,7351,1950,7204,2235,5886,635,832,357
"SFT2D3",1860,2215,4955,2085,1555,1556,1311,783,916,313,1343,461,552,50,113,43
"SFXN1",5790,6979,13324,7451,4060,5735,4163,3093,3836,1322,4843,1657,3260,178,178,102
"SFXN2",984,2229,2649,1880,697,1299,552,600,1284,408,1354,577,1068,38,27,9
"SFXN3",408,699,1286,396,841,1305,884,601,1043,245,1000,238,599,102,74,48
"SFXN4",1195,1657,2934,1418,507,833,524,362,650,215,751,277,370,29,38,12
"SFXN5",283,529,668,454,343,510,274,290,905,180,869,253,513,78,39,22
"SGCB",180,213,504,186,126,159,230,88,343,82,316,72,265,0,17,0
"SGCE",23,44,40,10,0,3,4,0,66,26,53,61,64,0,3,0
"SGF29",779,1210,1983,785,1679,2323,1386,992,918,403,1251,331,674,106,67,40
"SGIP1",79,120,464,73,9,20,6,5,226,70,182,25,282,1,1,1
"SGK1",5923,4506,7577,6095,4546,7808,4237,2702,2533,458,2480,955,692,751,543,205
"SGK3",375,352,1195,351,290,396,309,215,265,74,334,123,220,20,37,7
"SGMS1",1246,1938,3063,1150,2815,3582,2476,1919,1546,424,1720,474,1265,174,121,93
"SGMS1-AS1",66,195,396,184,283,519,273,222,201,70,186,60,151,26,26,9
"SGMS2",40,25,60,20,11,21,22,5,63,9,49,26,43,37,51,12
"SGO1",1002,993,2565,1336,97,498,116,53,312,141,547,207,273,11,8,9
"SGO2",1522,1773,5182,2122,293,862,355,164,880,276,1301,600,865,34,33,13
"SGPL1",2675,3470,7393,3093,2463,2850,2389,1517,2622,745,3018,841,2121,229,280,99
"SGPP1",3754,4516,8947,2783,2567,3163,2717,1359,2962,961,4000,1027,1965,154,279,79
"SGPP2",72,68,186,61,135,115,300,68,86,18,43,23,63,4,6,0
"SGSH",215,407,538,257,791,1206,970,1009,445,98,427,74,315,80,78,19
"SGSM1",5,15,13,5,18,13,33,16,22,11,10,3,29,15,5,4
"SGSM2",1135,2647,3338,2127,1215,2819,1615,1815,4985,854,4035,910,3748,150,111,72
"SGSM3",1013,1689,3244,1609,1143,1976,1180,1263,1986,508,2019,529,1283,124,142,51
"SGTA",1179,2090,2836,2067,1377,1871,1237,826,1504,489,1532,541,982,147,140,63
"SGTB",2017,3337,4021,1995,8117,9229,8829,5257,2893,832,3892,832,2249,208,207,131
"SH2B1",1007,1695,2849,1781,1676,2352,1571,1345,2661,650,2577,549,2157,112,148,80
"SH2B2",33,69,42,64,71,75,86,36,40,12,30,9,22,24,48,4
"SH2B3",1084,2327,3299,1998,2304,3343,2829,2379,1442,364,1638,440,1007,316,375,118
"SH2D1A",13210,14238,39063,12407,5373,8028,4825,3183,6245,2858,8367,3035,4618,301,220,153
"SH2D1B",15,62,54,13,102,75,166,83,77,10,34,2,14,273,88,121
"SH2D2A",309,781,856,434,506,791,590,399,1518,347,1251,364,936,121,90,84
"SH2D3A",280,564,919,301,1034,1605,1088,868,927,266,985,214,680,70,65,35
"SH2D3C",835,1778,3834,1641,1562,2610,2119,1206,4860,1129,3174,1079,3018,239,354,87
"SH2D4A",38,63,71,49,104,141,31,39,64,20,80,20,44,1,0,0
"SH3BGR",95,105,169,108,50,57,51,49,92,29,139,29,65,2,2,0
"SH3BGRL",11764,16591,27579,12755,10754,12039,9802,4526,6913,2514,9522,3127,4795,722,776,292
"SH3BGRL2",226,114,414,172,265,118,129,33,311,91,414,160,254,108,42,177
"SH3BGRL3",1629,4391,4843,3638,5525,7244,5971,3205,4529,1459,4676,1571,2458,1069,900,464
"SH3BP1",580,1486,1404,1182,1772,2878,2143,1213,3249,725,2624,686,1863,300,243,159
"SH3BP2",748,1718,2598,1372,1388,2798,1656,1426,2415,486,2196,629,1462,432,366,149
"SH3BP4",273,440,865,572,65,107,156,79,139,26,143,77,98,8,8,2
"SH3BP5",689,1116,2382,1417,2214,3773,3086,1972,993,324,917,341,879,202,306,66
"SH3BP5-AS1",206,350,494,257,505,653,386,610,749,121,577,121,811,18,13,9
"SH3BP5L",1254,1764,3908,1531,1661,2109,1438,1182,1794,528,1562,471,1024,85,85,37
"SH3D19",52,81,67,35,10,15,24,48,99,49,94,25,104,1,1,1
"SH3D21",33,86,90,53,22,80,21,29,98,19,63,13,64,5,1,2
"SH3GL1",570,722,1927,927,794,1119,931,662,1331,303,1118,306,902,133,130,44
"SH3GL1P1",20,62,97,61,91,131,114,223,86,21,67,14,99,5,2,7
"SH3GLB1",7329,8525,20112,7748,7187,8989,7567,4603,6581,2038,7527,2295,4928,483,575,205
"SH3GLB2",1318,2652,3456,1933,1533,3060,1528,1318,2568,732,2505,694,1787,148,115,71
"SH3KBP1",3218,7665,7963,7306,10631,14305,10295,5638,8420,2922,9434,2810,6507,595,539,271
"SH3PXD2A",637,1404,1062,902,1318,2274,1080,1150,2055,373,1948,410,2079,90,42,34
"SH3PXD2B",71,260,286,217,62,113,65,50,188,73,182,94,198,26,9,2
"SH3RF1",380,439,1142,553,55,140,57,39,134,63,190,61,129,11,10,0
"SH3RF2",56,108,125,64,5,63,18,8,32,8,28,8,30,1,1,0
"SH3RF3",244,623,773,385,438,351,438,422,680,133,466,102,995,19,22,17
"SH3TC1",1528,2920,4473,2281,982,583,672,565,1624,628,2396,928,1155,157,182,82
"SH3YL1",1483,1909,3408,1737,3216,3564,2281,2319,1772,550,1973,377,1693,116,93,91
"SHANK1",75,246,238,232,3,8,10,2,595,214,497,102,380,8,0,3
"SHANK3",18,52,49,69,13,88,5,33,95,21,72,23,104,1,0,0
"SHARPIN",563,1279,2001,1146,1069,1395,959,711,1039,272,1031,305,746,126,110,52
"SHB",25,70,105,62,17,17,26,6,37,19,65,19,32,0,0,1
"SHC1",1184,1978,3291,1576,1779,2342,2062,1281,1631,468,1533,448,1159,170,199,70
"SHC4",24,26,41,8,12,13,0,1,54,10,42,22,32,0,0,0
"SHCBP1",974,1179,2927,1748,117,717,282,160,253,111,411,180,219,27,8,15
"SHE",38,185,148,148,4,6,6,2,53,17,51,17,44,1,0,2
"SHF",191,228,546,344,258,124,132,91,343,99,385,77,244,7,11,4
"SHFL",956,2176,2899,1554,1786,2429,1929,1140,2784,679,2529,795,1974,169,153,71
"SHISA2",38,249,271,125,84,194,83,85,88,108,496,80,83,16,1,3
"SHISA3",4,10,6,60,1,6,3,1,7,0,11,5,4,0,0,1
"SHISA5",3773,6984,11434,5156,9824,9051,8856,3848,6430,2175,7086,2039,4032,559,836,251
"SHISA9",238,315,887,267,342,274,304,682,1234,209,1459,174,956,8,11,7
"SHISAL1",5,24,160,11,0,1,7,0,84,18,62,18,127,0,0,0
"SHISAL2A",51,149,110,73,1112,1260,779,648,125,33,181,27,111,38,44,25
"SHKBP1",907,1544,2952,1827,1512,2462,1951,1141,1978,472,1542,535,1348,273,322,90
"SHLD1",291,388,877,322,360,484,451,291,406,103,364,126,256,16,21,5
"SHLD2",2724,3058,6294,2424,2208,3111,2169,1407,1808,649,2666,824,1312,121,199,69
"SHLD2P1",35,48,55,16,25,24,14,12,13,5,11,5,8,0,0,1
"SHLD3",1389,1659,2018,1360,1393,1644,1089,995,522,114,674,203,366,57,44,28
"SHMT1",1637,2555,4215,2757,619,1299,677,568,1224,511,1614,533,716,77,43,20
"SHMT2",5112,6176,10437,5833,3683,5663,2732,1603,2383,923,3033,1061,1360,242,447,105
"SHOC2",6906,7393,16604,5944,7511,7005,7600,4124,5388,1404,6148,1694,4021,320,566,194
"SHPK",179,256,434,147,141,172,133,61,89,45,162,35,65,6,11,2
"SHPRH",4815,5092,13723,4337,4034,5391,4189,3974,5109,1237,5594,1509,4304,164,210,115
"SHQ1",4762,4288,16842,4284,956,1548,1124,675,2087,909,2902,1202,1592,56,84,37
"SHROOM2",15,20,34,16,1,4,2,0,91,19,39,15,83,0,0,0
"SHROOM3",45,38,62,27,12,0,0,0,81,14,93,28,59,0,0,0
"SHTN1",759,1034,1004,863,110,79,159,29,156,41,131,41,148,29,34,6
"SIAE",259,390,541,300,437,1106,396,451,289,125,406,90,305,39,26,22
"SIAH1",2775,3402,5978,3094,1869,2248,1558,2084,1651,378,1695,477,1313,82,66,41
"SIAH2",3637,4584,9302,3605,2513,2646,1952,1383,2246,758,2408,908,1492,194,210,109
"SIAH3",116,251,314,161,167,324,112,128,134,21,160,27,92,4,1,0
"SIDT1",911,2094,3453,1139,2355,2895,3255,1766,3229,582,2517,426,2292,183,268,110
"SIDT1-AS1",59,80,112,35,6,6,1,4,51,22,56,19,25,0,0,0
"SIDT2",637,1053,1835,965,1288,1468,1196,1094,937,226,828,180,740,186,421,60
"SIGIRR",1197,1721,3314,1473,3367,4677,2907,2225,2512,667,2027,495,1860,271,232,121
"SIGLEC10",215,565,533,470,24,79,121,40,57,11,44,22,51,124,247,14
"SIGLEC14",6,16,27,4,4,4,56,2,1,0,4,1,11,52,101,12
"SIGLEC17P",38,76,108,86,38,31,16,18,63,16,55,11,30,14,26,4
"SIGLEC6",10,57,42,13,14,39,82,32,54,3,23,3,21,0,44,1
"SIGLEC9",3,16,4,3,14,18,26,9,9,2,8,2,9,44,77,7
"SIGMAR1",956,1723,2656,1538,1564,2109,1496,861,840,291,1061,511,654,95,94,55
"SIK1",64,170,438,652,117,281,806,635,600,3,79,65,68,21,34,5
"SIK2",830,1590,2224,1392,1245,1623,1316,783,2138,493,1848,494,1676,89,126,47
"SIK3",982,1659,2766,1437,2583,3032,2551,3068,2259,475,1863,491,2184,193,278,99
"SIKE1",6558,6864,16297,6125,5188,6924,5472,2856,4616,1517,6043,1873,2989,235,261,116
"SIL1",669,1190,1739,1056,542,854,620,460,674,249,869,284,542,78,60,29
"SIMC1",319,524,916,442,711,622,660,427,610,172,674,173,685,43,62,22
"SIN3A",4059,6046,11272,5607,5152,7354,5828,5121,6975,1794,6265,1891,6483,333,428,180
"SIN3B",618,1122,2249,1036,1053,2000,1219,1201,1907,498,1589,384,1450,123,134,39
"SINHCAF",12022,14025,29178,11926,7892,9881,6849,4579,6082,1920,7458,2733,3562,271,350,146
"SIPA1",1568,4815,4248,3468,5699,7181,5972,3998,7812,1820,6605,1706,4512,908,1109,492
"SIPA1L1",1761,3197,4289,2007,2375,3277,2811,2286,4866,1244,4340,1220,4114,241,325,137
"SIPA1L2",184,252,1005,332,157,166,312,148,284,75,281,107,275,52,44,18
"SIPA1L3",471,1556,1202,1466,1254,1479,1575,1006,1703,390,1194,312,1379,137,415,70
"SIRPA",31,121,59,67,19,30,36,21,28,11,21,8,31,95,120,26
"SIRPB1",45,67,41,34,36,49,78,52,220,56,143,44,272,34,30,8
"SIRPB2",10,44,48,26,1,24,8,0,4,3,1,1,6,39,62,5
"SIRPB3P",18,16,36,7,20,9,10,6,78,15,66,24,136,0,0,1
"SIRPG",1538,3162,3426,1813,2504,3064,1843,1214,5851,1503,5281,1500,4122,128,107,62
"SIRT1",1859,2593,6401,2066,3703,4135,4050,2367,3244,973,3681,919,2504,127,189,94
"SIRT2",1201,1653,2895,1408,1727,2071,1547,1210,1317,383,1456,418,949,226,247,117
"SIRT3",227,334,715,250,339,398,230,212,550,135,509,121,352,30,24,7
"SIRT4",33,41,103,21,55,49,43,24,69,27,96,14,69,3,3,0
"SIRT5",1853,2093,4428,1790,1871,2044,1693,857,1280,414,1497,487,933,76,101,32
"SIRT6",280,374,803,311,224,407,183,162,390,119,329,118,235,25,27,7
"SIRT7",483,644,1300,588,712,1109,695,636,970,193,909,201,700,70,79,36
"SIT1",2046,2635,5269,1251,1183,1834,1122,545,2209,899,2979,846,1325,74,124,31
"SIVA1",3933,4044,9349,4507,1165,1998,1497,1377,2084,499,2105,726,1145,110,96,57
"SIX1",38,43,104,53,0,0,0,0,148,44,156,59,196,0,0,0
"SIX4",31,28,70,18,4,2,5,3,74,18,97,21,129,0,0,0
"SIX5",28,72,112,78,16,23,21,17,67,16,35,12,40,0,2,2
"SKA1",1020,1496,2338,1694,88,533,133,69,196,98,400,177,163,12,3,7
"SKA2",4993,6397,13391,6558,2408,3507,2545,1065,2200,948,3348,1243,1476,104,119,33
"SKA3",2304,2194,5783,2974,173,542,180,121,592,292,1114,525,392,25,16,6
"SKAP1",1640,2473,3152,1606,4698,5192,3655,3333,2638,926,3062,820,2220,231,224,110
"SKAP2",1840,1911,5801,2424,527,980,986,417,1112,411,1175,389,1010,166,371,90
"SKI",572,1495,923,1137,2714,3403,2995,2880,1866,387,1235,341,1920,222,157,113
"SKIDA1",41,63,225,70,13,16,4,1,59,17,39,15,45,0,0,0
"SKIL",8845,12356,18392,6898,11177,9439,7222,6421,10350,2376,10997,2671,7242,417,394,299
"SKINT1L",7,12,75,16,7,7,9,24,14,4,8,1,9,0,0,0
"SKIV2L",2719,3690,7326,3198,2534,4075,2363,2098,2922,706,2561,644,2014,192,209,109
"SKOR1",38,65,78,68,82,55,74,75,86,11,48,11,69,3,12,4
"SKP1",13320,16358,28401,14684,12655,12059,11397,8064,7383,1991,9337,2707,5810,437,564,334
"SKP2",3212,2697,8748,2881,782,1199,691,573,1358,546,1972,717,1076,34,34,27
"SLA",2699,5405,6388,3311,4359,6179,3896,2636,5991,2540,6337,2065,4673,579,425,514
"SLA2",2984,4782,8197,4421,2104,3508,2019,1239,4736,1505,5159,1610,2993,312,221,204
"SLAIN1",3391,3767,9878,3428,2869,2793,2697,1200,2625,892,3468,1054,1820,120,160,78
"SLAIN2",4277,5208,10543,4633,7149,6261,6762,3696,5314,1386,5555,1480,4116,338,379,172
"SLAMF1",863,4636,2276,1534,932,1688,1336,896,700,225,1050,506,708,34,72,20
"SLAMF6",837,1248,2432,648,4705,4758,5176,1611,2092,750,2174,669,1465,307,528,192
"SLAMF7",775,1105,1276,911,221,227,705,258,453,140,284,46,402,193,203,120
"SLAMF8",215,262,430,228,10,9,7,2,84,23,41,14,43,12,7,1
"SLBP",4245,4623,10641,3631,1734,3645,2122,1149,2036,739,2910,1033,1350,131,142,89
"SLC10A3",189,323,709,344,448,459,559,210,513,115,445,127,300,83,88,35
"SLC10A5",16,33,58,27,32,32,22,18,17,5,31,10,34,1,3,0
"SLC10A7",1420,2167,3293,1294,1585,1901,1439,951,1260,362,1465,426,963,85,57,44
"SLC11A1",45,37,78,18,57,43,33,24,26,13,44,7,22,206,204,41
"SLC11A2",2489,2905,9570,3215,1452,2341,1431,1317,2401,815,2942,904,2102,72,73,43
"SLC12A2",2358,3478,6984,3035,2598,2838,2631,2297,2386,568,2495,977,1604,112,178,81
"SLC12A2-DT",830,1445,2485,1197,1618,1891,1577,900,1116,330,1452,414,844,54,72,25
"SLC12A3",20,67,45,26,7,3,50,42,16,5,14,1,11,0,1,1
"SLC12A4",522,647,1367,731,528,677,518,507,986,221,879,201,614,48,51,24
"SLC12A6",2756,3974,9681,3987,6496,9214,7799,6596,7660,2317,7631,2245,6263,419,506,179
"SLC12A7",843,1653,1324,1360,1899,3423,918,1697,4288,1039,4965,1435,5142,337,104,146
"SLC12A8",11,38,26,18,4,8,6,4,66,16,42,18,36,2,1,0
"SLC12A9",814,1668,2214,1304,1755,2507,1702,1635,1894,371,1637,386,1168,193,221,95
"SLC14A1",61,108,376,72,116,476,91,162,165,47,164,51,322,23,7,4
"SLC15A2",125,125,334,133,95,149,136,147,226,50,240,63,299,6,6,3
"SLC15A3",94,176,238,152,117,130,200,80,114,44,120,19,79,148,209,27
"SLC15A4",1606,1989,5349,1734,977,1579,1565,820,1359,465,1652,385,1002,140,198,104
"SLC16A1",4208,5083,12480,5564,1311,2194,1192,987,1573,679,2678,1109,1046,78,85,48
"SLC16A1-AS1",191,422,463,249,379,688,346,349,257,85,267,88,196,17,8,4
"SLC16A10",1893,2290,5277,1784,3154,3775,2366,2081,1852,509,2297,617,1662,88,52,50
"SLC16A11",4,12,10,4,42,39,29,16,41,5,56,2,27,3,1,3
"SLC16A13",19,23,102,54,25,48,52,27,61,28,38,10,36,2,13,2
"SLC16A14",42,100,141,82,9,81,31,19,97,27,92,37,38,1,0,0
"SLC16A2",43,44,346,13,11,10,20,2,242,45,244,43,163,0,0,1
"SLC16A3",218,430,883,337,421,504,360,328,595,96,490,105,301,156,138,42
"SLC16A5",72,228,276,147,211,416,177,238,135,53,134,37,98,19,16,2
"SLC16A6",142,158,247,251,251,232,228,97,608,176,488,196,437,119,57,34
"SLC16A7",5974,7351,13759,5305,9485,8907,9428,4641,8244,2219,9682,2357,6535,360,436,254
"SLC16A9",21,88,193,49,0,8,9,0,45,16,59,18,64,0,0,0
"SLC17A5",491,618,1436,440,558,689,596,434,453,183,589,188,319,29,39,23
"SLC17A8",51,37,72,14,0,0,0,0,42,10,54,15,68,0,0,0
"SLC17A9",133,178,365,185,93,157,146,128,454,93,398,122,268,23,33,9
"SLC18A2",829,660,2067,619,602,274,281,373,1335,78,2389,96,830,12,14,17
"SLC18B1",1051,1716,3780,1316,714,1446,985,751,1406,331,1673,416,813,64,69,33
"SLC19A1",451,765,1239,826,447,705,328,557,499,138,392,175,369,52,44,30
"SLC19A2",446,534,1873,458,341,450,394,227,497,141,576,187,368,26,30,18
"SLC1A2",63,95,104,45,16,8,3,6,59,7,39,1,17,1,0,1
"SLC1A3",45,39,66,45,0,26,2,0,35,8,23,3,25,4,3,4
"SLC1A4",2407,3310,9364,4454,565,1166,808,563,874,329,1149,461,723,76,73,85
"SLC1A5",1669,1941,5023,2547,263,557,509,278,575,248,609,315,484,110,145,72
"SLC20A1",2579,3826,8880,3332,2606,4510,3331,2503,3743,1313,3979,1054,3184,224,266,131
"SLC20A1-DT",118,134,255,156,142,362,217,154,222,49,161,29,102,12,14,7
"SLC20A2",1819,3047,4779,2212,2488,3028,2071,1960,2121,678,2158,788,1459,87,99,48
